學校名稱,文章標題,文章連結
葛量洪校友會黃埔學校,,
黃埔宣道小學,,
聖羅撒學校,,
獻主會聖馬善樂小學,,
聖公會聖十架小學,,
聖公會聖匠小學,,
聖公會牧愛小學,,
保良局何壽南小學,,
獻主會小學,,
馬頭涌官立小學,,
天主教領島學校,天主教領島學校推AI學習平台　小六整體英文寫作、口語明顯提升,https://www.hk01.com/article/1082627
天主教領島學校,天主教領島引入AI學習平台　根據學生程度分發練習、即時回饋錯處,https://www.hk01.com/article/943484
天主教領島學校,領島學校購特制版ChatGPT可調較創意度畀錯答案　教學生核實資訊,https://www.hk01.com/article/943483
九龍婦女福利會李炳紀念學校,,
合一堂學校,,
協恩中學附屬小學,,
農圃道官立小學,,
九龍靈光小學,,
基督教香港信義會紅磡信義學校,,
陳瑞祺（喇沙）小學,,
中華基督教會灣仔堂基道小學（九龍城）,,
浸信會孔憲紹天虹小學,,
香港真光中學附屬小學暨幼稚園,,
聖保祿學校（小學部）,,
高主教書院小學部,,
北角官立小學（雲景道）,,
東華三院李賜豪小學,,
聖保祿天主教小學,,
聖若瑟小學,,
嘉諾撒聖方濟各學校,,
聖公會聖雅各小學,,
官立嘉道理爵士小學,,
寶血小學,,
寶覺小學,,
保良局金銀業貿易場張凝文學校,,
瑪利曼小學,,
李陞大坑學校,,
軒尼詩道官立小學（銅鑼灣）,,
軒尼詩道官立小學,,
佛教黃焯菴小學,,
聖士提反書院附屬小學,,
聖保羅書院小學,,
聖保羅男女中學附屬小學,,
華富邨寶血小學,,
東華三院鶴山學校,,
聖伯多祿天主教小學,,
聖公會田灣始南小學,,
聖公會置富始南小學,置富始南小學高空歷奇提升學生抗逆力　校長親身上陣與學生同行,https://www.hk01.com/article/60274197
嘉諾撒培德學校,,
海怡寶血小學,,
香港南區官立小學,,
鴨脷洲街坊學校,,
香港仔聖伯多祿天主教小學,,
聖公會偉倫小學,,
聖家學校,,
東涌天主教學校,,
救世軍林拔中紀念學校,,
寶安商會温浩根小學,,
梅窩學校,,
靈糧堂秀德小學,,
嗇色園主辦可譽中學暨可譽小學,,
香港教育工作者聯會黃楚標學校,,
青松侯寶垣小學,,
中華基督教會大澳小學,,
杯澳公立學校,,
國民學校,,
長洲聖心學校,,
中華基督教會長洲堂錦江小學,,
南丫北段公立小學,,
蘇浙小學校,,
漢華中學（小學部）,,
港大同學會小學,,
救世軍中原慈善基金學校,,
救世軍韋理夫人紀念學校,韋理夫人紀念學校重親子關係　多項措施助家長與子女創造愉快時光,https://www.hk01.com/article/60271289
救世軍韋理夫人紀念學校,救世軍韋理夫人學校試行科學科　學生實驗中尋找答案提高學習動機,https://www.hk01.com/article/1064025
香港中國婦女會丘佐榮學校,,
勵志會梁李秀娛紀念小學,,
基督教香港信義會信愛學校,,
聖公會柴灣聖米迦勒小學,,
筲箕灣崇真學校,,
筲箕灣官立小學,,
慈幼學校,,
培僑小學,,
天主教明德學校,天主教明德學校藝術教育建⾃信 讓每名學⽣站上舞台展成果,https://www.hk01.com/article/1095026
中華基督教會基灣小學（愛蝶灣）,,
中華基督教會基灣小學,,
愛秩序灣官立小學,,
太古小學,,
聖公會聖米迦勒小學,,
滬江小學,,
番禺會所華仁小學,,
北角衞理小學,,
北角官立小學,,
丹拿山循道學校,,
北角循道學校,,
啟基學校（港島）,啟基（港島）校長用愛灌溉伴航　重度自閉症學童打破宿命超額畢業,https://www.hk01.com/article/60247024
香港嘉諾撒學校,,
佛教中華康山學校,自發提早回校練習興趣　佛教中華康山學校着重培養學生內在動力,https://www.hk01.com/article/1057985
佛教中華康山學校,康山學校馬中駿校長：家長勿迫子女狂計數　去超市購物都是數學課,https://www.hk01.com/article/933363
佛教中華康山學校,STEAM｜康山學校數感課程倡遊戲學數　研一日小賣部訓練數感,https://www.hk01.com/article/932512
聖類斯中學（小學部）,,
聖嘉勒小學,,
嘉諾撒聖心學校私立部,,
救恩學校,,
聖士提反女子中學附屬小學,,
聖嘉祿學校,,
聖安多尼學校,,
聖公會聖彼得小學,,
聖公會聖馬太小學,,
聖公會呂明才紀念小學,,
聖公會基恩小學,,
新會商會學校,,
嘉諾撒聖心學校,,
李陞小學,,
英皇書院同學會小學第二校,,
英皇書院同學會小學,高小科學先導計劃推行1年　英皇同學會小學：探究學習學技能態度,https://www.hk01.com/article/954156
香港潮商學校,,
中西區聖安多尼學校,,
天主教總堂區學校,,
般咸道官立小學,,
新界婦孺福利會基督教銘恩小學,,
仁濟醫院蔡衍濤小學,,
五旬節聖潔會永光小學,,
香港教育大學賽馬會小學,,
大埔舊墟公立學校（寶湖道）,,
大埔舊墟公立學校,大埔舊墟公立學校新年市集　學生獲發現金入貨擺檔　利潤捐學校,https://www.hk01.com/article/1095025
大埔循道衛理小學,,
大埔官立小學,,
大埔浸信會公立學校,,
大埔崇德黃建常紀念學校,,
聖公會阮鄭夢芹小學,,
聖公會阮鄭夢芹銀禧小學,,
三水同鄉會禤景榮學校,,
天主教聖母聖心小學,,
保良局田家炳小學,,
保良局田家炳千禧小學,,
新界婦孺福利會梁省德學校,,
林村公立黃福鑾紀念學校,,
香港道教聯合會雲泉吳禮和紀念學校,,
港九街坊婦女會孫方中小學,,
培僑書院,,
香港浸會大學附屬學校王錦輝中小學,,
東華三院蔡榮星小學,主打英語教學設全球公民課　蔡榮星小學校長：為學生好願逆難而上,https://www.hk01.com/article/1071161
救世軍田家炳學校,,
天主教聖華學校,,
基督教香港信義會禾輋信義學校,,
培基小學,,
聖公會主風小學,,
沙田崇真學校,,
沙田圍胡素貞博士紀念學校,,
沙田循道衛理小學,,
保良局朱正賢小學,,
保良局蕭漢森小學,,
世界龍岡學校黃耀南小學,,
路德會梁鉅鏐小學,,
胡素貞博士紀念學校,,
慈航學校,,
浸信會沙田圍呂明才小學,,
浸信會呂明才小學,,
聖公會馬鞍山主風小學,,
保良局雨川小學,,
保良局莊啟程小學,,
吳氏宗親總會泰伯紀念學校,,
馬鞍山聖若瑟小學,,
馬鞍山循道衛理小學,,
馬鞍山靈糧小學,,
九龍城浸信會禧年小學,,
香港道教聯合會純陽小學,,
基督教香港信義會馬鞍山信義學校,,
香港九龍塘基督教中華宣道會台山陳元喜小學,,
東華三院冼次雲小學,,
沙田官立小學,,
保良局王賜豪（田心谷）小學,王賜豪小學以愛辦學　助學生找到熱情　啟發學習積極性、建立自信,https://www.hk01.com/article/60262327
保良局王賜豪（田心谷）小學,為學生煮鬆餅、做司機遊車河　王賜豪小學校長愛與學生玩成一片,https://www.hk01.com/article/60262349
保良局王賜豪（田心谷）小學,校長灼見｜與孩子並肩探索世界　在挑戰、嘗試或落敗中看見成長！,https://www.hk01.com/article/60276776
九龍城浸信會禧年（恩平）小學,,
聖母無玷聖心學校,,
東莞工商總會張煌偉小學,「靜觀星球」APP助力東莞工商總會張煌偉小學關愛文化與正向實踐,https://www.hk01.com/article/60249159
循理會美林小學,,
循理會白普理基金循理小學,,
香港中文大學校友會聯會張煊昌學校,張煊昌學校營造英文語境　小一英文外籍老師任教　英語融入各學科,https://www.hk01.com/article/60273149
香港中文大學校友會聯會張煊昌學校,,
香港九龍塘基督教中華宣道會陳元喜小學,,
迦密愛禮信小學,,
沙頭角中心小學,沙頭角中心小學一成學生屬外地回流　愉快學習理念成家長選校原因,https://www.hk01.com/article/60273636
沙頭角中心小學,非一般Happy School　沙頭角中心小學辦爬樹隊　教保育兼訓練意志,https://www.hk01.com/article/60271938
沙頭角中心小學,校長專訪｜沙頭角中心小學新校長由市區走入禁區　體驗濃厚人情味,https://www.hk01.com/article/960286
福德學社小學,,
救世軍中原慈善基金皇后山學校,STEAM｜救世軍皇后山學校全科結合AI　重學生思考過程及分辨對錯,https://www.hk01.com/article/983770
東華三院曾憲備小學,,
打鼓嶺嶺英公立學校,,
聖公會嘉福榮真小學,,
寶血會培靈學校,,
五旬節于良發小學,,
五旬節靳茂生小學,,
香海正覺蓮社佛教正覺蓮社學校,,
鳳溪廖潤琛紀念學校,,
方樹福堂基金方樹泉小學,,
粉嶺公立學校,,
粉嶺官立小學,,
基督教粉嶺神召會小學,,
上水宣道小學,上水宣道小學引入「靜觀星球」情緒教育APP　培育正向築心靈韌性,https://www.hk01.com/article/60247342
育賢學校,,
上水惠州公立學校,,
東華三院馬錦燦紀念小學,,
東華三院港九電器商聯會小學,,
東莞學校,,
曾梅千禧學校,,
聖公會榮真小學,,
石湖墟公立學校,,
李志達紀念學校,,
金錢村何東學校,,
香海正覺蓮社佛教正慧小學,,
香海正覺蓮社佛教陳式宏學校,,
鳳溪第一小學,,
鳳溪創新小學,,
英藝英文小學,,
和富慈善基金李宗德小學,,
激活英文小學,,
基督教香港信義會啟信學校,,
基督教香港信義會宏信書院,,
安基司學校,,
元朗官立小學,,
通德學校,,
惇裕學校,,
聖公會聖約瑟小學,,
八鄉中心小學,,
光明英來學校,,
錦田公立蒙養學校,,
港澳信義會黃陳淑英紀念學校,,
基督教宣道會徐澤林紀念小學,,
鐘聲學校,,
中華基督教會元朗真光小學,,
佛教榮茵學校,,
元朗公立中學校友會小學,,
元朗商會小學,,
元朗朗屏邨惠州學校,,
元朗朗屏邨東莞學校,,
南元朗官立小學,,
聖公會靈愛小學,,
光明學校,,
佛教陳榮根紀念學校,,
博愛醫院歷屆總理聯誼會梁省德學校,,
元朗寶覺小學,,
元朗公立中學校友會鄧英業小學,,
香港普通話研習社科技創意小學,,
東華三院姚達之紀念小學（元朗）,,
東華三院李東海小學,,
天水圍循道衞理小學,,
天水圍官立小學,,
天水圍天主教小學,,
順德聯誼總會伍冕端小學,,
聖公會天水圍靈愛小學,,
十八鄉鄉事委員會公益社小學,,
伊利沙伯中學舊生會小學,,
伊利沙伯中學舊生會小學分校,,
樂善堂梁銶琚學校（分校）,,
樂善堂梁銶琚學校,,
獅子會何德心小學,,
嗇色園主辦可銘學校,,
香港青年協會李兆基小學,,
金巴崙長老會耀道小學,,
基督教培恩小學,,
宣道會葉紹蔭紀念小學,,
香港潮陽小學,,
潮陽百欣小學,《年少日記》導演卓亦謙與校長對談：盼孩子受困說出來為心靈減重,https://www.hk01.com/article/968091
中華基督教青年會小學,,
保良局香港道教聯合會圓玄小學,,
仁愛堂劉皇發夫人小學,,
仁濟醫院何式南小學,,
東華三院鄧肇堅小學,,
圓玄學院陳國超興德小學,,
順德聯誼總會胡少渠紀念小學,,
順德聯誼總會李金小學,,
順德聯誼總會何日東小學,,
聖公會蒙恩小學,,
保良局西區婦女福利會馮李佩瑤小學,馮李佩瑤小學發展天文課程　鼓勵學生追星　傳承中華千年天文智慧,https://www.hk01.com/article/60221207
路德會呂祥光小學,,
伊斯蘭學校,,
中華基督教會拔臣小學,,
青山天主教小學,,
博愛醫院歷屆總理聯誼會鄭任安夫人學校,,
博愛醫院歷屆總理聯誼會鄭任安夫人千禧小學,,
仁德天主教小學,,
仁濟醫院羅陳楚思小學,,
屯門官立小學,,
台山商會學校,,
道教青松小學（湖景邨）,,
道教青松小學,,
柏立基教育學院校友會何壽基學校,,
保良局志豪小學,,
保良局莊啟程第二小學,,
保良局梁周順琴小學,,
保良局方王錦全小學,,
香港路德會增城兆霖學校,,
樂善堂梁黃蕙芳紀念學校,,
世界龍岡學校劉德容紀念小學,,
香港紅卍字會屯門卍慈小學,,
僑港伍氏宗親會伍時暢紀念學校,,
五邑鄒振猷學校,,
中華基督教會蒙黃花沃紀念小學,,
中華基督教會何福堂小學,,
聖公會主愛小學（梨木樹）,,
梨木樹天主教小學,,
嗇色園主辦可信學校,,
荃灣公立何傳耀紀念小學,,
荃灣官立小學,,
荃灣潮州公學,,
荃灣天主教小學,,
寶血會思源學校,,
深井天主教小學,,
天主教石鐘山紀念小學,,
天佑小學,,
寶血會伍季明紀念學校,,
香港浸信會聯會小學,,
路德會聖十架學校,,
海壩街官立小學,,
香港道教聯合會圓玄學院石圍角小學,,
靈光小學,,
柴灣角天主教小學,,
中華基督教會基慧小學（馬灣）,,
中華基督教會基慧小學,,
中華基督教會全完第一小學,,
地利亞（閩僑）英文小學,,
東華三院高可寧紀念小學,,
仁濟醫院趙曾學韞小學,,
東華三院黃士心小學,,
東華三院周演森小學,,
荃灣商會學校,,
青衣商會小學,,
聖公會青衣邨何澤芸小學,,
聖公會青衣主恩小學,,
聖公會何澤芸小學,,
保良局陳溢小學,,
保良局世德小學,,
中華傳道會呂明才小學,,
柏立基教育學院校友會盧光輝紀念學校,,
聖公會仁立小學,,
聖公會仁立紀念小學,,
聖公會主恩小學,,
基督教香港信義會葵盛信義學校,,
中華傳道會許大同學校,,
祖堯天主教小學,,
中華基督教會基真小學,,
中華基督教會全完第二小學,,
佛教林金殿紀念小學,,
佛教林炳炎紀念學校（香港佛教聯合會主辦）,,
亞斯理衞理小學,,
聖公會主愛小學（梨木樹）,,
聖公會主愛小學,,
石籬聖若望天主教小學,,
石籬天主教小學,,
慈幼葉漢小學,,
慈幼葉漢千禧小學,,
梨木樹天主教小學,,
嗇色園主辦可信學校,,
